,Lookback,Z,VZ,Bending,Breathing,density,BendingM2,BreathingM2,densityM2,DM,Gas,DM_out,DM_inner
104,2.784817132151856,0.07658317947250587,1.5949893307468685,1.7786156035056446,0.8022364694444445,1054.5949061868644,1.2075862359731773,4.771545146226976,359.89934621665196,22.75642841505578,25.81182543024574,6.639518679475563,87.27825308692033
105,2.7427265610184968,0.06741757244523287,1.4444253920487458,1.3755243226256284,0.8152159929572491,1047.876583083456,0.7638913999112072,5.159721216302149,321.8450476360207,18.316284280119973,30.658990282388316,6.209710807104518,204.6720407666627
106,2.7117133543835266,0.06027030543623648,1.2670404117303176,1.1266963106005923,0.8398381164425457,951.9971354500946,0.5985682817012625,4.682512984052852,277.68118611712134,13.53113420561597,33.17088189343112,4.794038176416237,127.00227373478783
107,2.68053568833356,0.056634212190113574,0.8665775607003352,0.8386589869311389,1.1076231335669817,861.6281716653923,1.1642333316841236,4.527937888388986,374.5084274770553,13.368982789005617,30.33196805140498,6.160156242448353,87.35285778386097
108,2.6491942320886306,0.04654718562425105,0.8060356687547927,0.8838633398222004,0.968589935181242,831.5728905201835,1.1613738830931117,4.625937829365392,304.10388108621464,15.197926165043077,18.71423398849157,6.466676754378358,132.67199749155532
109,2.614521529925911,0.0383594796543952,1.267407743189414,1.3317419675377233,1.0092002384546013,618.8239831889786,1.523971399370917,4.499633899338773,218.5783899060858,14.068180333584284,26.886494130339184,6.671628124370594,112.01890952915176
110,2.5970701812222377,0.043592483342909376,1.363055657831131,1.3214538855687703,1.135831677298857,660.8118557593256,1.3541797984588808,4.296553276556169,322.40162281657416,17.853773546050515,22.250565794801318,6.183076881122425,104.92848118999231
111,2.562131922884664,0.06911358420436296,1.4575159114416734,1.441150298721518,1.0046212769813134,715.29526823026,1.2001652883754932,4.333559851448223,304.26997154472593,9.710058629821678,18.43242580370019,7.525516927441589,120.32461105062112
112,2.526974675067546,0.10092686369786104,1.8278425935182447,1.6607833443058921,1.2637073833208847,867.0359937782002,1.3641597879214562,3.967155011016854,296.8375178554382,12.905864629167901,26.29509796410727,7.408760121636261,98.45141054990847
113,2.4916638430941767,0.09362779098152327,1.9202010491438852,1.9339838860384937,1.2519467052911903,963.2732938587855,1.7047045560763898,3.986850214822109,301.9807553179161,14.118520717540505,31.34291107759919,8.465839857600452,89.1000734856673
