,Lookback,Z,VZ,Bending,Breathing,density,DM,Gas,Stars,Satelites,All
48,5.829423163299706,0.07555277158570209,2.6268673001071012,5.113348679934904,0.6563666433862723,0.0389313340515098,6.648723264601141,20.05825585619678,7.169963447425925,0.17860509937901006,20.969196958899232
49,5.806019824366869,0.07312346500168745,2.722535449943521,5.329573879205492,0.8201891455242041,0.040311166444169835,5.7960745044376525,23.905758402292058,7.102890123428591,0.1609598264707519,24.016790316086556
50,5.758847580686567,0.07398001265698947,2.1759594584594306,4.285475373910961,0.7270930713569208,0.047497747399842326,6.8689828396136114,29.26808457570099,8.082740635339846,0.11554717554013884,26.62570906864249
51,5.735113676933862,0.06838314418006826,1.9561891717698408,3.9060887153167188,1.195279133629879,0.06351367310059888,5.659223689106345,24.711312587935232,9.388900208461038,0.08557227120537156,24.702746667367922
52,5.687351268637958,0.0644838804405338,2.165202377183358,4.165572003124288,1.0986097601657465,0.066021812677575,4.210796515120129,24.438909912611937,6.677394845281626,0.014979634417986165,27.17827550626353
53,5.674282004200253,0.061749970010071945,2.2322876938740586,4.35742001140378,1.4354389467401405,0.06037559754642237,4.4293159216968805,26.296507024123493,7.218843551479653,0.014392629964522641,25.764343314207693
54,5.63487750476342,0.056564211685802626,2.401317646815748,4.7863491711997215,0.8898159247964527,0.056082371353230506,4.770149175602219,22.832072860733373,5.614407248500926,0.0692249385316159,28.878724187120532
55,5.607096887071627,0.06692015809147132,2.345263380486143,4.691700922419213,0.9530204722960306,0.057671557030653776,4.589712902135596,27.82809663732903,6.183888939772299,0.095715662803887,31.17247057779755
56,5.563197273837341,0.06871044190025326,1.4893579965610466,3.021501016254751,0.8872765900245687,0.0439261727450635,5.59147086027957,24.42586950561987,7.637151920709144,0.10871274873030547,28.96719392221383
57,5.532228479342441,0.05272714359462516,1.7269128122648794,3.3873604852569756,1.0782086524203258,0.04872818751219355,5.878554720867221,18.04903639988313,6.507206724699621,0.10868202601748143,26.563765155378523
58,5.499580009312712,0.03911291111460813,1.9792620370119842,3.6791686529573426,1.0198057635485764,0.05076076826007987,4.372477607576165,18.708919634067644,5.637817350709821,0.11346912381147142,26.704385002094323
59,5.4667717357004335,0.04524483391779578,2.139204525865253,3.8958862769310754,0.9776819709574738,0.061385037582219984,5.514199474359403,22.434835136334357,6.4929059146399615,0.12366176242462114,29.378809563433553
60,5.432045810452904,0.05881323248982025,1.8841784236416932,3.4232866847656593,0.9478450230579616,0.06531741156850153,4.770385092090872,26.909197338511095,9.082274319964124,0.13507880318980134,37.140282550912765
61,5.395473989249358,0.05630674534492397,1.597814163459438,2.974660479675922,0.4946717532770232,0.061980238881393625,3.8642247236849085,20.089663156485937,8.032169820923617,0.1400115233195619,27.782010666279508
62,5.377073878453867,0.04482445083682646,1.6967631512169585,3.285981210466005,0.526860563044733,0.05624855211579886,5.009012227667921,19.38129425525949,6.139030572083498,0.13636941069050176,25.3268272255773
63,5.338220697323426,0.04702503441594926,1.725700770709888,3.1967919818372805,0.43975501996434935,0.05325247079282638,3.006612970463994,18.219299820848484,7.227662636357917,0.10541153332673499,19.263014337582025
64,5.297253698952362,0.0438131197091587,1.722250873276765,3.3789076204201636,0.8806337094190416,0.04141806650066058,4.251834140048764,15.68692403610794,5.8028153567014815,0.024722933172103338,18.772834266291763
65,5.276641111204341,0.03133758282086671,1.4617289327984029,3.063589297282598,0.9578667378043402,0.04279665355689991,3.3347279445001403,20.05248941456134,5.177820444596706,0.046468353971109384,23.165149015052858
66,5.235158502612744,0.02994859679432448,1.5755065012299483,3.1417125907139285,1.031407236380863,0.0363468209572164,3.478371058466674,23.82257916280796,6.353011076892118,0.19086520330992673,22.902827290645583
67,5.214323161439596,0.0373553847411926,1.7203966154640777,3.2311184816206584,0.7161849421038647,0.03882921406299514,2.309528464674027,23.347886900428026,5.128714739148848,0.2520564483184496,26.237811465579995
68,5.170266337889607,0.04428372527629139,1.7259532624536764,3.2210766512443127,1.1343228530881821,0.037742048953088005,3.5927351309352966,25.205607729271648,5.753359070281052,0.31713148005723746,26.472287447878983
69,5.147046563163453,0.039398135721362984,1.6121624913289003,3.0040929577237874,0.9856344119222085,0.040303430546546795,3.212755681350779,24.46520552406369,7.035060747250871,0.31815663700626357,29.2114163355995
70,5.100322315894825,0.028302751945560888,1.5899175163501262,3.118356547015691,0.5157700770802569,0.05811512826047298,2.4202494801387076,28.72331126456466,6.391659730712172,0.2806899122490311,34.196843576367186
71,5.076783952863184,0.034569856865785384,1.5662242604571415,3.1421622278375327,0.7856704610983877,0.04938753962561663,4.030188600620753,26.546502340728765,5.729762832107565,0.2553069609635951,29.541865636547655
72,5.024693916499314,0.04217560710513822,1.3259061079100691,2.525597966329804,0.7308919309961376,0.04914569884426738,5.5933594003154745,34.06711499357959,7.104427254450013,0.20456109521309254,41.85642522447689
73,4.9984422681030605,0.038729650162823356,1.2010088186616183,2.042220948471636,0.6480451937717907,0.04241764304167146,4.07576587878219,33.19740040142085,8.741760493963499,0.18365546261049737,39.88146903816829
74,4.972098961617661,0.0339348415548553,1.4400797188277228,2.460186094027853,0.6789501869432928,0.03432873213949443,4.932023847703579,28.666646265711098,6.512603347210221,0.16536671481409318,37.00036453437463
75,4.945595796763422,0.03213159444354359,1.5325968123620508,2.703958808748478,0.6122759017043421,0.03328113318254352,4.904498301977238,25.12696008405079,4.0024346852927,0.15007333597046227,28.412798302559924
76,4.892248159980066,0.031280690121254305,1.3111568466955448,2.74436590009746,1.1211056560351897,0.03507414051111139,5.3950497132232185,25.507529936816702,4.734074843187159,0.12660969413114984,29.174049653220195
77,4.862669314823597,0.04089769325116775,1.3782202265901855,2.7432909783186012,1.045519677807882,0.034148032884395135,4.373708963624377,24.828756528916358,6.006179575057833,0.1169144803728615,28.075638898033144
78,4.8487228759760965,0.04296706710856568,1.2291229547625881,2.473666653314228,1.0585002085117783,0.03579482796894849,2.586545848698502,25.02615849414644,6.669843075922245,0.11313964170219414,30.329816356389784
79,4.806664730570148,0.03992512435698046,1.224850961778527,2.4836570540671823,0.8240338593201608,0.03429113138259513,5.215096066926196,21.764192118860386,6.391500175070199,0.10472369983152513,23.90736114912081
80,4.778461168590125,0.029016488499769583,1.3310120967219758,2.571540048587288,0.725085646229887,0.0376411951095899,5.193907802497803,20.30979298960847,3.685236459424506,0.10065820473046759,22.334248119468068
