,Lookback,Z,VZ,Bending,Breathing,density,BendingM2,BreathingM2,densityM2,DM,Gas,DM_out,DM_inner
36,6.257021370782392,0.1999341963070626,4.465839748144684,4.199449949188807,1.7255641178688297,553.8723288150552,2.1971897141768166,4.62155287837873,351.64326867253897,21.12259636809273,41.483655839766534,11.29777614118463,254.04492337593044
37,6.198067183682968,0.1961622810073659,5.35906456924549,5.275673521583828,1.1665317424449697,473.21256936791616,2.1913272981767054,4.58375712022413,325.9886882472059,21.87638589952027,37.99312243237186,11.320614969710338,332.5034352831655
38,6.166826674452982,0.18900795612194773,5.973402921872261,5.743248422508595,1.1331407059254315,441.59445029540836,3.016331565899103,4.759119128357576,576.9035442518459,30.78589570427113,40.205022572814244,9.459479103110066,332.1088349236033
39,6.133891202463207,0.20311638552295985,5.708849740840709,5.447187772953427,1.564137824847283,336.4312554317208,2.814274797580898,4.601371930181524,671.3771555741616,26.784097215453958,40.40746748357172,6.99410226764699,309.35755422841777
40,6.100719280344513,0.19737359373490926,5.783943439369823,5.732269329428741,1.076904916987098,436.20106720177307,3.826305831147611,4.383734712301587,557.0949483290133,25.06816965982129,33.9695911933256,6.6591873034434235,218.1028749539039
41,6.067346103953526,0.17572608576850252,5.70458584911586,5.604313848471234,0.5661809494509024,710.5530694729756,5.0604132906183,3.729673788043695,326.4245566012128,26.96732382454644,54.000216805972485,7.9217339277058025,214.07210475091094
42,6.032072868913223,0.21560124499935146,4.770371636166263,4.785239475269049,0.8594128746019347,926.4841043429454,4.1438694954151565,3.5089911832568914,293.03225937330626,23.911870784878207,54.38874684803253,7.109851550458047,244.06162577303152
43,5.9948320266449295,0.19316412383735057,5.552164152482248,5.390479753103184,1.0289743148358754,849.5854846130949,2.7244409772841784,2.8077244977697697,344.16671080823255,24.192557384515588,51.674411281856166,8.90822613180013,180.71631805446592
44,5.957324003606695,0.16002598858035322,5.577012611507405,5.258792968545334,0.9691690759111271,793.449523541169,1.6886253787549985,2.4089971337878118,419.24159801558216,22.320153696446912,50.87025893300719,8.740537974902546,128.17267601697867
45,5.9365639909968575,0.1772140566806814,5.324673789046188,4.965723850252358,1.045519738325923,659.7040372360256,1.5813774136371983,2.222319256086476,360.3938669227483,20.91771419203834,48.65659050311234,8.446211018545615,190.44411678180944
46,5.894811696137233,0.2343847905202036,4.606126048259311,4.611973796664893,0.9386102685813562,436.71210238408304,2.352591155250096,2.3442970464561723,243.27126349991718,18.476214421720435,50.193890344567755,7.619366451892218,147.97702112826704
47,5.85272746861963,0.2133294445214518,4.389382823153052,4.447277283423413,1.077524500575577,390.24258354988876,3.914093744000217,2.980981223230179,251.23910775848987,13.327067064715633,30.527600981308733,6.307330589823531,225.1112415727015
48,5.829423163299706,0.18670853987208608,5.145105536055587,5.07150417752216,0.7829456343122653,363.70451345802536,3.881438728620329,2.721017286303675,304.7922542085048,13.297446529202283,40.11651171239356,5.466040259382204,159.52627585509788
49,5.806019824366869,0.16878635294585237,5.410694512573077,5.293035489588977,0.7930158093980756,465.9862484111669,3.4757625531437903,2.6817800822986038,344.6974210545356,13.050949480845324,47.811516804584116,4.6111528598363,134.06453032304063
50,5.758847580686567,0.18388702633452642,4.311147573852605,4.2685576505862315,0.6553830605934058,607.4938158091641,3.1035342517022415,3.3865583781251125,397.91977055267915,13.965654591946272,58.53616915140199,4.853603622624884,134.5165826223028
