,Lookback,All,DM,Gas,Disk,Sat,Z,VZ,density
0,7.641375389072152,108.94301074473404,42.764303650260324,66.17870709447371,15.049670311860503,0.024476698774057087,0.42984660934615426,13.346530540815579,0.16130937013498087
1,7.596713167865263,76.78388592673767,31.317338865798117,45.46654706093955,17.7954164506254,0.033394252051254576,0.5169102894838968,11.069785342842227,0.1552249535327569
2,7.566683618057125,55.07891439130143,26.821435549061345,28.257478842240086,19.137192118503375,0.04112391289947009,0.5004846096570537,9.681946821422073,0.1972785208434816
3,7.53339063655954,52.47097688948769,34.97614101907928,17.494835870408405,15.813274091100702,0.051349399251658934,0.47097963927605757,10.10949654484807,0.20129302755658243
4,7.482979561017268,64.37797023390587,27.22456796386545,37.15340227004042,13.509964227067085,0.0668451733210635,0.3567579451797979,11.58973668208949,0.1302607842426036
5,7.445622694073074,64.56547436241696,23.96380101216646,40.60167335025051,11.504431765612276,0.06764337571597706,0.3578512142917479,11.031819754897953,0.07028507252556747
6,7.388982983834753,69.59392561172649,20.7578261723704,48.83609943935609,12.665551526847358,0.03418255217006164,0.41931478029995606,9.700320428189983,0.09560056705965461
7,7.368028485131425,56.88305591652062,23.67922623291356,33.203829683607054,14.012807999416518,0.0801907909618656,0.4203696662990632,9.258516427455229,0.09442304072280597
8,7.32581407574925,67.14189616474596,19.970122817489926,47.171773347256035,14.901372717783854,0.19492613132767353,0.40022550909677185,10.39215873442851,0.061508740763327
9,7.304554308275986,69.41485509615012,16.840237269724703,52.57461782642541,10.827427398878378,0.20605097097119768,0.35826305987036844,10.743860335544662,0.10962290939907993
10,7.271496275648464,50.08545087969548,13.198654756280186,36.886796123415294,17.28367768477128,0.18443293254914875,0.3607617900950079,9.133628826466028,0.09886633393862043
11,7.236227198877431,45.592970982759596,9.576980128787266,36.015990853972326,17.517153221089707,0.14557644075547937,0.3546172384351226,7.150458535930719,0.09398324075831091
12,7.19831221169613,52.59691126447236,11.383000524702757,41.2139107397696,15.927600073694604,0.1233170436053792,0.3382161144784302,7.78637652227369,0.06895633000656425
13,7.152681385740628,51.59552325064903,11.8359557042291,39.75956754641993,13.543933973515127,0.11877361950206403,0.3005898189131123,7.873265516570045,0.07301597824894482
14,7.099260464270884,45.306911583752985,12.864688033631504,32.44222355012148,13.704244027721861,0.1277657762778582,0.29384600961566215,7.9590910448760726,0.09538363359054987
15,7.075557727315488,35.41516299182719,12.196088652772215,23.219074339054973,12.666554222582983,0.13508275018659713,0.3130500254299222,8.252811287096211,0.09591699864304108
16,7.039764478602527,44.18168028098465,17.101399450707913,27.080280830276735,15.586669492691861,0.14927527459185702,0.3345481529335788,7.406712183853817,0.05758982971560387
17,6.986751233784402,69.28985566947783,28.556056687309805,40.733798982168025,16.37905350807214,0.1807283271551341,0.2830744911560135,5.416547336575311,0.10084297874174455
18,6.943909723553674,87.55975208255278,35.00365686038254,52.556095222170235,12.09768060883915,0.21800871406324124,0.18533136312444323,5.654819502917225,0.11017182772291209
19,6.8992999999999975,94.62967574359176,26.18143671567222,68.44823902791954,10.038567552382146,0.25944828099157136,0.19629021892502885,5.403944951264057,0.14743731948301758
20,6.866292168543732,94.7041293852002,26.631571055794193,68.07255832940601,14.512107670463303,0.2776592490481395,0.2376312337160516,5.188415050132829,0.14645923020139934
21,6.816364909661479,82.06826473325329,20.57975991602996,61.48850481722332,16.66734824449905,0.28258557739901874,0.2828657223570078,5.4545869021594084,0.09403852746458921
22,6.779399361578653,88.59662178241543,22.0853406198361,66.51128116257932,12.926525730690441,0.300816098017859,0.22528381234495215,5.323692201051784,0.06985697602251381
23,6.742137004320504,74.58924816552464,19.97980632936934,54.6094418361553,11.173664390346579,0.33677342244512615,0.17910042705302734,4.5519884637116395,0.08352426302072676
24,6.7130773554740495,84.90221608127095,15.300304102553309,69.60191197871764,12.38006329384435,0.36210850597690736,0.18786611224350305,3.797539597362993,0.102534885507924
25,6.66005882533,93.15402880058785,19.52183797133063,73.63219082925723,12.398480121016203,0.38891196946751405,0.12190489148182515,4.914536320799803,0.13765977011175215
26,6.613862820712693,85.15587943664806,22.400205509340843,62.75567392730723,11.46426091674017,0.39420255115537073,0.14077481018642063,4.052564140459703,0.12372076910217897
27,6.573229915265312,72.91631283147302,15.352085463767402,57.56422736770562,13.276594411341248,0.3984041123159202,0.15959540829141688,3.0020728600353808,0.1547984824119088
28,6.539376586173443,65.7550266249111,8.061863687696427,57.69316293721467,11.452695317330386,0.42431294344619985,0.1819294999289999,3.091759667449054,0.15289992057181148
29,6.489295405186351,84.6367544549768,7.905217771813449,76.73153668316334,12.435549321442698,0.6441335551846434,0.16887364186111792,4.937834318964484,0.11075595942196241
30,6.462779928727577,93.99585956109007,5.745326407860738,88.25053315322934,12.669426765046644,0.8827735651503307,0.1553744451047328,4.7457589995942575,0.08877136319644466
31,6.420803680733952,79.52577966494924,9.893880634906,69.63189903004324,12.520814256654525,1.3664381118455622,0.1385590936630077,2.9555755763993687,0.07338165101602402
32,6.3912357509248015,73.19724283231942,10.902243461354411,62.29499937096501,12.315397818652402,1.6756523555413525,0.12867168190552417,2.8398405315909825,0.09328782470171812
33,6.360037918593159,76.68245429411931,19.145669461079247,57.536784833040066,9.284826002594347,1.821052623468889,0.10592716544602176,4.403981283938725,0.09974026410155842
34,6.323181769898123,64.06519881482386,18.889756497713716,45.17544231711014,15.161268867676501,1.3861018481183442,0.16583255714643977,6.304620647397232,0.10552157018731916
