,Lookback,Z,VZ,Bending,Breathing,density,BendingM2,BreathingM2,densityM2,DM,Gas
132,2.964568325761885,0.04205572175238852,1.3738881739435476,1.540389300470728,0.38763041447127433,266.23671272278443,0.4064486579308849,8.461544084482037,350.372452203367,42.61161286254637,33.762146307637096
133,2.9417685863907828,0.03833759452404134,1.4518343604882225,1.6439517916300108,0.3980670817073467,264.32051215594834,0.8027788240843797,8.248736470206007,445.82540643061327,36.666710379922606,23.492066547487006
134,2.9044341091206314,0.03781627427438975,1.4499328596998393,1.5159181923779743,0.4786673153649764,201.50113843230594,0.4646109514436237,8.556343983594346,642.8592910712254,33.34076238502292,19.891175886345643
135,2.879459068881067,0.036347711703797435,1.2923339629020252,1.428851472670402,0.39284741258277206,127.58048012356316,0.6115209655780549,8.712946257496066,725.8620992461022,29.767766504004495,25.717147607397035
136,2.840501774017653,0.04474111848233618,1.2193542344775956,1.433980715876229,0.42010718637539357,161.07208392842927,0.8427645542453892,8.170818607656964,620.5655936568335,40.69705902344576,36.57792442168155
137,2.8127777060410555,0.04184223289875263,1.3877632639205513,1.778823609982929,0.2971648195605346,151.61649894474317,0.9825868620258683,8.437219857529534,467.2412947502964,48.065733156635325,36.20803226738806
138,2.784817132151856,0.04751272008856167,1.3728977242403264,1.6597716178640993,0.679434597544649,172.3356093446167,1.0447142004848409,7.975258612824175,387.59337941897604,38.24243784206634,44.211516010471016
139,2.7427265610184968,0.04778104665470223,1.4868530099344048,1.9266969104881315,0.5559827812176039,243.9885372836947,0.8624488105805727,7.6501900518823955,269.4570297674256,25.930386306402774,46.985190474981145
140,2.7117133543835266,0.050855709919503375,1.6217113113887334,1.8916911703520232,0.5671683469274422,294.37469831842543,0.8915605727585859,7.491608700888986,443.1622351298817,34.574184598773336,52.00631453236194
141,2.68053568833356,0.049828234178026655,1.6143018569153234,1.9000357563781247,0.6721198818199344,247.97619413815636,0.9309794617328577,7.5271033323533185,622.2768368002049,23.02058842578129,48.89382429187622
142,2.6491942320886306,0.0384609514956326,1.984928331385492,2.2685076479541197,0.5478913417723986,226.26563255366918,0.8199617050225207,7.5403015258077435,597.6690720026131,34.7070816845246,47.43713897037838
143,2.614521529925911,0.0467178019751385,2.0409349636140095,2.298197410095752,0.3294346320930531,244.093550675553,0.7228261996770774,7.753059242272347,633.4527667154965,27.07471761764297,52.06748675989795
144,2.5970701812222377,0.05591094012153928,1.9863796720863802,2.2218744146567833,0.2842082825761,246.75585986011984,0.966623114455567,7.945227713725524,639.7673033266847,26.00729626490797,53.1002409470182
145,2.562131922884664,0.06180254336640838,2.003346569596945,2.370724313123459,0.6607402235000183,283.739532931859,1.450412152222966,7.989558580779814,449.5784336248438,28.959808638380725,52.881826563864415
146,2.526974675067546,0.055966286159483826,2.2835345768775808,2.6249867035031937,0.7066960901128861,332.6248001504716,1.7342272723912888,7.9181981123859035,303.7033018058959,24.033572813248846,66.69987037389144
147,2.4916638430941767,0.0618452845840477,2.1788212996249996,2.3447448707882423,0.6159953383592731,369.43629658208283,1.5749929217413043,7.793332590323155,353.3240815282212,23.529215111901138,57.11585512732758
148,2.452533894244416,0.06191018480607698,2.148899045424933,2.2457979095023295,0.7970127087963716,420.98325040993706,1.6655253732058841,7.416241345103897,403.49005925461825,35.12609982881899,30.257953812340624
149,2.432923249867974,0.06270596931296571,2.0498888252598144,2.0643707138367957,0.649487249910816,395.34580676349617,1.269407581180342,7.66517203282329,601.3588528288451,21.05252589237295,35.70211551506096
150,2.3934185607529006,0.052068650515576284,2.03181351553926,1.9887516208871538,0.5295694897082449,328.4644722734042,1.3138840935511855,8.052438545225243,674.9894281403627,32.53434048880668,35.35509475111324
151,2.3735891273313907,0.05641408463770803,1.6973813473097852,1.8134511642089381,0.6358646772150371,333.0038031004501,0.8923154047083679,7.901168027250186,626.0888144668096,29.878097321364255,26.26074473397783
152,2.3337768208667296,0.05292792877014951,1.522427394241041,1.5653586821942678,0.5676762408553435,320.8741831441097,1.4725066513720197,8.282775619818777,551.4017658439709,31.799620695465897,22.03241742037081
153,2.3137302192753904,0.04775566192045837,1.3689292075696917,1.3660668077734792,0.5457335381620652,377.37112041091314,1.2000810314624923,8.134916838606381,545.758711818007,31.87686377573286,27.29869388413076
154,2.269521171742096,0.034212098495632046,1.2741420077512617,1.4055796583765852,0.6148143895977076,389.7783241481284,0.8564619365794647,7.5555299948126855,292.23449960713066,44.850801425902624,22.418786852417554
155,2.224930415431526,0.032590060226631176,0.954607773518204,0.9814032057878503,0.35155932298169734,389.3629050110553,0.8156527949410055,7.156064353605214,320.2914534449101,28.115421904378003,36.81062658536774
156,2.2025324624786755,0.03248125686948629,1.1868717268450644,1.2991844284543963,0.7156217966859063,409.78578118438946,0.9964858041429739,7.426283651682534,453.3521260756773,22.572189421037322,27.985738387383275
157,2.1800876680884858,0.03821196294086978,0.9569056898745542,1.159427197377021,0.3343723960379384,334.93372837965546,0.8477902011987016,7.237530395934682,577.4280628202863,22.10227084463326,35.48983225824912
158,2.157532515481736,0.0356024304999834,1.2364658639622417,1.2096028124506264,0.4599667881611846,325.2270680439243,1.0591657310723561,7.59245193568646,546.3506933736337,26.527359528182156,25.941016674439172
159,2.112219607618881,0.03511150558966789,1.300845128794609,1.477736422728473,0.6804776491956535,289.97166298193895,1.2664255626644019,7.6946725123620725,583.751906383248,14.198025052295627,25.955970027137088
160,2.087111301115557,0.03780155885704667,1.0853045422580025,1.2972388914344553,0.44273226089516965,298.1816260793422,1.14712243780176,7.489303218848012,478.8079534411401,26.44395061703907,22.17919694657824
161,2.0619610942752065,0.033731429999722624,1.312375134950606,1.4477298748144398,0.6948140066158986,312.1103455740139,1.4059617456477733,7.375843557475418,496.7671217318376,34.930749596268285,20.88428367874682
162,2.0113456725416192,0.04617872748748299,1.0955288480527483,1.5019186461383822,0.924835502720178,391.8137485650494,1.5344520443256118,7.1302058379354225,118.02449583958519,44.9081689739641,24.026137383131818
163,1.9603127121682111,0.039949003880419866,1.5702339274432606,1.90773470314031,0.8231252536934166,506.6021196685777,1.3918331679655276,7.475531376259914,598.238075586064,28.738987275115015,40.52920900382326
164,1.9346405898490333,0.048189265219450245,1.7036581698098203,2.017503088742851,0.474501760286308,469.0568268801402,1.3289715442486665,7.577796517159813,583.6919167847828,22.139631215025098,39.54282417610495
