,Snapshot,Lookback,Minf_20,Minf_25,Minf_30,Minf_35,Minf_40
64,736.0,4.090517576788267,235657945.34741,32537324.3674,2309068.6473000003,696652.8991100001,225283.06443
65,739.0,4.051387253346471,227089631.45595,43967282.213,4656208.48381,785086.1432,160581.12855999998
66,740.0,4.031717654255528,193494432.05271,33092351.072800003,3246100.00955,618032.9722999999,69945.35130000001
67,742.0,3.9921703326700086,119654462.33767,10587501.08126,1035765.2978,131813.6657,1797204.97713
68,744.0,3.9703123977296446,96386278.66894,10492679.61317,1647524.6431999998,28657.5841,2290210.95735
69,746.0,3.9263621640915054,144113390.24825,4892607.4781,197954.0238,259931.4754,2873421.3920400003
70,748.0,3.904236747925157,185698258.90799,6936608.813,304654.2506000001,1408011.6043,1373670.54256
71,751.0,3.8597869359163535,204333971.30872,2112753.38396,501080.9102,1687238.0605000004,519649.274
72,752.0,3.837429450196413,208616617.72863,4497867.0887,3032999.7818,928996.5858999998,78322.64790000001
73,755.0,3.79021115421336,191013119.86761,10930427.7273,1772273.1493999998,0.0,0.0
74,756.0,3.765320039697933,211757777.48863,12799327.0095,1407398.094,240288.2759,0.0
75,758.0,3.7403442402838434,199820614.63651,13613694.76582,627867.07971,0.0,0.0
76,761.0,3.6900396490094094,111042299.38334998,13551295.73436,42523.5962,0.0,515000.554
77,763.0,3.6647448434540313,94020987.73698,10306074.69083,13151.1563,0.0,295896.24100000004
78,764.0,3.6393332294665535,156853370.87236997,9538199.25,253052.32780000003,554887.7885,0.0
79,766.0,3.611243287317557,201834807.16122,12792910.3825,917760.7843,1421457.0321999998,0.0
80,768.0,3.5830408109660965,197357274.41372,17458864.69165,3839466.4631,82351.7212,46809.895
81,770.0,3.5406764130714983,208961053.94901,33335814.85269,859100.5972000002,6408.2905,0.0
82,772.0,3.5122938050100214,226388595.2861,21574830.88654,406410.8186,113005.1733,0.0
83,774.0,3.480915262767496,229277152.40567,9714611.95171,445842.9738999999,11607.4375,10061.939
84,776.0,3.4493642568072502,206679700.82068,11428319.75207,366018.9412,59357.9337,29253.583700000003
85,778.0,3.4176414378115427,155718191.491104,22717800.45618,136507.78303,160858.2835,2675.6416
86,780.0,3.384160105599035,130667487.41897,34555742.56878,386854.66637,53458.0327,46715.2678
87,782.0,3.3488592409068514,111915780.0995,38779951.61158,190491.1338,19789.256,0.0
88,784.0,3.313394622547607,159935369.36997,37249943.68615,85434.67860000001,26965.1997,0.0
89,786.0,3.2955764075645178,193866281.13095003,35215270.76357,761816.2343000001,19931.737,0.0
90,788.0,3.2597687795980548,232419740.6556,19536471.21883,1922418.6129,0.0,0.0
91,790.0,3.220194766662841,250350484.12202,30490861.9325,386055.4244,2016235.1396,568934.8106999999
92,792.0,3.2002516129970497,258416506.516734,52521367.7196,929352.3567,2910411.962,530711.276
93,794.0,3.1602677614677805,247367365.9502,43938278.82539,3258118.1141,5477262.207600001,66259.086
94,797.0,3.1200013903966006,187286200.59795,21555708.0013,6960927.9213,4847825.8473000005,0.0
95,798.0,3.099787303245713,131014047.47112,18861465.7855,9040460.0668,2818177.4042,0.0
96,802.0,3.032536332071169,98592223.79097,17790532.44061,1620795.5309,241210.1239,0.0
97,805.0,2.987318142080252,110636384.28043002,12267086.85618,2129697.1287,68142.4503,7887.8228
98,806.0,2.964568325761885,106261103.25838,20716171.1012,1438765.6266,56635.2923,7056.867
99,808.0,2.9417685863907828,119953204.62992,24590460.88114,689772.3152000002,12739.2466,15049.02
100,810.0,2.9044341091206314,190291677.92696,20289057.15785,918219.8106,164605.37199999997,0.0
101,812.0,2.879459068881067,198475010.05149,10443729.19535,372595.8248,80272.8397,0.0
102,814.0,2.840501774017653,173522764.2591,7956162.205010001,147475.035,57616.62,0.0
103,816.0,2.8127777060410555,146130514.50094002,5936330.348099999,388630.1775,32591.052,0.0
104,818.0,2.784817132151856,149411473.56734997,4022814.2916,577458.4169999999,0.0,0.0
105,820.0,2.7427265610184968,100999487.88816,3678804.88801,668769.5700000001,0.0,0.0
106,822.0,2.7117133543835266,81991830.81756,9150457.12439,181590.3025,0.0,0.0
107,824.0,2.68053568833356,79239097.53965,25667874.3023,1079130.33339,0.0,0.0
108,826.0,2.6491942320886306,94110532.90523,19170798.0876,3526322.767,91878.2144,102626.4695
109,828.0,2.614521529925911,150375565.40726998,14583516.34022,4577811.9683,132246.88,140976.3639
110,830.0,2.5970701812222377,208394461.82565,18055462.98414,4958502.5019,358726.2498,0.0
111,832.0,2.562131922884664,213853017.08664,20133032.48538,1843911.1205,222066.0448,0.0
112,834.0,2.526974675067546,236448342.07845,26151472.84514,549057.318,178345.25649999996,0.0
113,836.0,2.4916638430941767,185884968.17086,18942704.52566,2901033.7232,250226.6333,0.0
114,839.0,2.452533894244416,125842104.43428,13669619.44117,2099482.334,97773.59,0.0
115,840.0,2.432923249867974,94134450.41614,13404385.75082,539352.4071000001,35875.029,0.0
116,842.0,2.3934185607529006,76060437.15679,14101463.664,1580317.5314,0.0,0.0
117,844.0,2.3735891273313907,110395171.10274,23793533.5207,2591383.1549,0.0,0.0
118,846.0,2.3337768208667296,200967792.54762,45563652.41231,4689179.2472,378256.1049999999,0.0
119,848.0,2.3137302192753904,209271666.46798,43188248.14344,3805493.7905,1058299.7162,38433.526
120,850.0,2.269521171742096,162057224.17123002,24103228.643700004,4158952.8661,2196465.7897,0.0
121,853.0,2.224930415431526,69586513.37352,18656364.056,4344301.790080001,2415299.721,33566.934
122,855.0,2.2025324624786755,63964487.18989,14284413.70152,4594933.91735,2327758.2092,221106.26
123,856.0,2.1800876680884858,64354231.0068,11743304.6271,4148137.3993,1058288.1292,49043.006
124,858.0,2.157532515481736,68716386.57742,9325070.9702,3012247.4591,405990.517,28598.254
125,860.0,2.112219607618881,63795796.625624,2192367.3232,213466.2157,0.0,0.0
126,862.0,2.087111301115557,52529261.336260006,538705.7012,108859.2343,0.0,0.0
127,864.0,2.0619610942752065,44503322.85575,518276.9917,29540.109,0.0,0.0
128,867.0,2.0113456725416192,103535373.24067,178448.61130000002,0.0,0.0,28083.3768
129,870.0,1.9603127121682111,197059365.4352,1327783.3173000002,16604.7945,185475.9374,36008.0217
130,872.0,1.9346405898490333,216816757.55948,11364653.8743,0.0,33032.1206,28569.3196
131,875.0,1.883050037737778,165638847.38342,9136436.29775,1290821.7807,11276.6851,112696.41860000002
132,877.0,1.8544850560257515,165612398.57038,11464972.526750002,3970876.5969,133063.9678,34887.119
133,879.0,1.8257600052573768,167439107.4634,7571379.9933,2975242.0192,27316.402,127629.9916
134,881.0,1.796938407859891,151212567.05306,8478272.620000001,984112.045,0.0,0.0
135,883.0,1.7679578668133151,158603645.26818,15507785.1923,536808.1598,0.0,0.0
136,884.0,1.7388817816783195,118213972.94172,25361789.96154,1240337.24246,32255.9416,24714.1952
137,888.0,1.6803821053718089,117919957.28542,26706615.45,4322056.7985,737438.1945999998,0.0
138,890.0,1.6513349419549357,154126994.7328,18395251.9718,3892487.2598,2738651.23,21941.075
139,892.0,1.6221933386695184,144592324.46494,32613031.5987,7335830.740800001,5213633.9301,9281.067
140,894.0,1.5913968824946192,121639615.53458,30828032.2659,9869850.54179,4432451.6084,100003.9897
141,898.0,1.526482000440085,148059103.133622,9667794.61114,7044689.1093,2157387.986,21321.314
142,900.0,1.4921852356211271,105640198.18964002,7022933.4547,3410604.3354000007,947886.9229,30275.36628
143,902.0,1.4740895780518706,110202431.82528,8580585.6003,1637956.9618000002,322755.302,6762.007
144,904.0,1.4378104691953375,133860225.01771002,13968476.0425,276373.9678,199739.747,92391.4095
145,907.0,1.3995344473201283,116029037.96826,6758010.8698,341219.4552,385025.5979,0.0
146,908.0,1.379394815045762,111417677.55471,8093761.054300001,167673.52099999998,366014.8017,25922.0743
147,910.0,1.3389136775111898,102639087.15107,14348792.65355,54526.7402,222550.8726,68535.132
148,912.0,1.3186343746780445,95709016.23429,11335953.54,257599.1891,77228.34550000001,56058.4522
149,915.0,1.2736795703077617,71347165.61869,7641060.010600001,402361.7727,194971.096,0.0
150,916.0,1.2511075261369928,54985466.82391,3266785.09325,1593923.4219000002,570313.731,3764.3762
151,918.0,1.2284316259411128,46918333.7026,3179071.27295,1918177.2152,1141880.2830000003,301287.1369
152,921.0,1.1828925623151108,121102474.3876,10930866.24877,1922124.96576,1285197.0616,109874.7256
153,922.0,1.1599684223993911,110050495.74022,8582806.676120002,1738000.6166000003,1843984.3342,15742.0583
154,924.0,1.1370030372074371,87581375.50590998,6635428.37151,2585205.9244,1408515.7307,0.0
155,927.0,1.0885598576131272,67229489.9561,5913964.18886,1475065.8867,11744.891,4096.0967
156,929.0,1.0629644951974877,66725477.85927,4545769.820900001,704930.4749,56792.8348,75923.832
157,930.0,1.0373333408983232,54463735.959230006,6243485.4241,241734.7162,477509.7074,285211.8386
158,932.0,1.0116055126964891,58280233.7526,5915099.0828,21477.1525,248876.1715,195102.299
159,934.0,0.9857813933188329,46916480.6617,7292839.2183,4069236.23141,347952.86715,217876.3742
160,937.0,0.9338458197560904,36288658.5304,4793472.9773,1502030.69466,113240.494,34754.995500000005
161,939.0,0.9076743060215976,38017986.04533,4753641.2426,306166.9482,18937.2851,105654.297
162,941.0,0.8814689430246716,75938356.07365,10560139.587700002,619840.9272,111118.6522,0.0
163,942.0,0.8524982665495529,93581664.7673,9112153.178156,2946348.2476000004,80143.82800000001,2612.5821
164,944.0,0.8233788600331238,90910181.68329,6178871.1662,3275032.6916999994,19110.5496,0.0
165,946.0,0.794171930422948,44437888.4596,2314369.43947,1702561.3306,65498.76930000001,194630.3037
166,948.0,0.7648174264279408,40770830.8514,1992320.53087,147513.0197,151447.46269999995,15058.134
167,950.0,0.7353160006453141,65885205.63952,906934.75595,19845.25165,4805.496,0.0
168,952.0,0.7057286556549318,30627048.48187,33861.693,169522.8627,49784.7004,0.0
169,954.0,0.6759955603324528,12708722.65624,146882.95417,0.0,75210.644,0.0
170,956.0,0.6461173762670658,12460781.41806,178375.5835,103900.3476,0.0,0.0
171,958.0,0.6131486197814819,22843351.48964,1266837.94115,478516.7519,0.0,0.0
172,961.0,0.5799836130857816,72489825.06107,4812911.67573,839088.0183,274306.51190000004,43620.4154
173,963.0,0.5466832990887749,122124985.28391,33571383.18876,609813.5237,413118.49130000005,20830.409
174,965.0,0.5131885432006982,120029333.75615,32423423.41571,2100463.2236900004,102658.1098,16087.4109
175,966.0,0.4991212178044133,128646790.37218,26844533.63826,1075531.4437000002,32827.3091,0.0
176,968.0,0.4709510438215574,116542259.45662,18627600.28899,1236947.2516,5331.534,16695.657
177,970.0,0.4426939363838329,90425141.87332,17701956.28334,2622006.91925,61832.079,0.0
178,972.0,0.4114283276708388,52001445.15308,23175040.36704,2079778.4909300003,68353.619,0.0
179,974.0,0.3800242733878658,35360267.32088,21353014.33773,4128438.26696,0.0,263821.12610000005
180,976.0,0.3469361976641796,41472171.55614,20134092.915265,636630.0935,289020.1409,1173946.8097
181,979.0,0.3120524204023489,49298420.30085,15074424.63067,1095685.8034400002,538338.1104,1064865.1916
182,980.0,0.2945997882812428,56316693.40379,12294566.91674,1509001.2731,937164.0188,306534.1369
183,982.0,0.2577179218977008,82009535.72782001,8652387.5472,2223924.7282,454562.5931,0.0
184,984.0,0.2382917854605324,89437770.69525,5788500.1129,2300519.7947,350679.475,0.0
185,989.0,0.1601547334405868,119089326.77317,917131.45747,643760.7271,2764418.2191000003,74664.80380000001
186,990.0,0.1404541071160281,121943235.48593,272944.7604,2177877.9161999994,1263074.6776000003,0.0
187,993.0,0.1009252796935396,70097054.42763,1243549.2000600002,5094637.11998,325553.01380000013,0.0
188,994.0,0.0790978521063614,60006728.34756,2731736.20552,4306241.94798,354363.747,24025.112
189,996.0,0.0572318233060435,67740177.48869,5522751.19757,2977139.4418400005,711139.8877,0.0
190,999.0,0.0132086769907413,83746065.72865,24978452.38097,1101256.8845000004,931353.1176,0.0
