snapshot_t,lookbacktime,Rcenters,Nparticles,amp0,amp1,amp2,amp3,amp4,amp5
608.0,6.198067,12.5,90880.0,148517.44,477135.62,201433.42,119909.93,65976.05,124000.01
608.0,6.198067,13.5,84143.0,131730.94,585904.9,188083.61,89811.12,101136.414,163663.97
608.0,6.198067,14.5,80332.0,131088.06,668222.5,129648.21,137197.27,102888.81,14103.768
608.0,6.198067,15.5,65632.0,6549.4756,518648.28,101419.81,69719.3,162843.95,153586.45
608.0,6.198067,16.5,53680.0,54447.086,500388.1,91858.95,147499.72,128020.15,114548.14
608.0,6.198067,17.5,39628.0,105639.33,461615.94,89243.07,178518.34,34970.82,86017.42
608.0,6.198067,18.5,28280.0,182447.05,418936.62,115862.125,151100.31,111649.2,71836.67
608.0,6.198067,19.5,19395.0,171198.9,323700.8,85628.445,81675.766,87566.49,57342.496
608.0,6.198067,20.5,12442.0,115503.61,215963.7,105478.1,26342.264,70987.46,71688.9
608.0,6.198067,21.5,9153.0,127298.6,234989.19,161027.25,104304.836,87015.36,61948.453
610.0,6.1668267,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610.0,6.1668267,1.5,70093.0,252490.38,705784.8,38711.895,149640.58,51685.6,75332.28
610.0,6.1668267,2.5,71993.0,148046.36,5439.293,7188.9106,22530.924,40755.312,62254.613
610.0,6.1668267,3.5,73899.0,21271.068,449332.62,32374.203,55085.715,16466.016,14828.628
610.0,6.1668267,4.5,93052.0,45979.965,768734.9,38463.023,71488.445,101920.94,8385.125
610.0,6.1668267,5.5,120975.0,32502.277,1006750.06,118982.07,78848.09,22530.424,33389.633
610.0,6.1668267,6.5,122899.0,3574.565,972180.8,97198.93,120443.15,42240.656,81878.195
610.0,6.1668267,7.5,116248.0,30689.547,831505.1,144752.9,55894.82,156815.94,136984.34
610.0,6.1668267,8.5,116052.0,69981.68,777308.6,194083.62,193081.16,149475.75,90423.64
610.0,6.1668267,9.5,114772.0,378.2146,400923.03,222081.64,44003.56,110090.43,181040.98
610.0,6.1668267,10.5,113705.0,82820.51,167565.7,252148.2,70427.93,71634.77,167739.39
610.0,6.1668267,11.5,106781.0,114374.42,401727.53,171171.92,59979.3,60143.992,62262.008
610.0,6.1668267,12.5,91199.0,179957.69,574079.75,252998.77,164412.66,66577.125,140324.88
610.0,6.1668267,13.5,81012.0,191924.97,750580.8,283836.4,131104.6,49156.645,106836.25
610.0,6.1668267,14.5,78086.0,129502.484,767213.2,87898.48,48273.684,135312.33,99659.016
610.0,6.1668267,15.5,66431.0,73100.23,613574.75,65619.125,75363.945,72371.195,90742.24
610.0,6.1668267,16.5,52059.0,72234.3,568591.9,179826.89,189660.56,99806.37,109166.14
610.0,6.1668267,17.5,41387.0,89180.086,473669.3,106602.56,250210.89,35462.89,41324.273
610.0,6.1668267,18.5,30225.0,184027.19,460502.47,191310.2,181699.86,80614.08,5790.9653
610.0,6.1668267,19.5,19881.0,161217.16,344191.06,185339.39,134688.8,61152.656,27350.387
610.0,6.1668267,20.5,11184.0,101028.43,175892.83,65403.664,38841.598,41435.38,51573.85
610.0,6.1668267,21.5,8170.0,78145.72,141933.36,90530.67,61551.484,61876.594,58494.492
612.0,6.133891,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612.0,6.133891,1.5,70041.0,202184.58,699917.5,198182.52,179996.75,59933.797,6689.9805
612.0,6.133891,2.5,73039.0,22401.867,110231.66,57316.84,137683.27,49793.56,31062.066
612.0,6.133891,3.5,73280.0,65217.53,416845.44,63007.54,79200.76,53279.695,13815.651
612.0,6.133891,4.5,91879.0,33452.977,728814.44,84724.69,83774.945,23010.465,14331.231
612.0,6.133891,5.5,115500.0,39567.363,977943.06,86325.734,94173.69,68085.79,60594.953
612.0,6.133891,6.5,125168.0,46411.24,818976.5,22122.643,72972.11,46287.957,26844.166
612.0,6.133891,7.5,119807.0,92569.47,760849.5,217769.61,191826.7,161627.0,139178.81
612.0,6.133891,8.5,119189.0,2191.5425,738201.75,215874.66,82609.51,120147.14,100325.484
612.0,6.133891,9.5,111422.0,87776.45,587035.2,300305.06,56608.035,53856.113,99781.83
612.0,6.133891,10.5,114182.0,91896.26,248860.95,242823.45,92196.96,50661.098,27447.43
612.0,6.133891,11.5,109661.0,103928.67,229898.45,339503.97,26070.855,136379.4,141480.86
612.0,6.133891,12.5,95961.0,159621.89,480878.62,275570.62,190025.8,190680.0,54121.492
612.0,6.133891,13.5,84311.0,108995.08,789241.25,62771.17,180990.83,61628.223,134236.84
612.0,6.133891,14.5,75773.0,38242.52,742547.44,122505.41,42777.863,30198.54,144898.06
612.0,6.133891,15.5,66274.0,69373.71,696322.9,40880.21,129628.06,113670.63,110859.23
612.0,6.133891,16.5,51905.0,6261.1016,588313.5,116452.03,148143.45,52043.812,93143.54
612.0,6.133891,17.5,39332.0,61742.484,541432.06,176665.03,210416.39,28447.312,52149.105
612.0,6.133891,18.5,29679.0,145127.53,496630.0,195267.17,162852.19,73926.63,32480.293
612.0,6.133891,19.5,21009.0,164014.84,390951.12,228786.73,182780.69,76937.41,18238.941
612.0,6.133891,20.5,11887.0,105833.29,198448.9,110758.69,82266.96,41889.03,28283.43
612.0,6.133891,21.5,7484.0,66805.42,99075.16,35094.617,59321.836,47127.465,41233.668
614.0,6.1007195,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614.0,6.1007195,1.5,69415.0,162239.78,703136.75,50187.434,138646.38,42528.977,39684.69
614.0,6.1007195,2.5,72329.0,134075.22,183933.83,143958.19,137286.3,8970.899,56323.258
614.0,6.1007195,3.5,75631.0,28552.385,337925.22,56120.934,7439.7065,30314.715,27294.72
614.0,6.1007195,4.5,89401.0,85551.92,649837.6,76515.336,126470.016,37153.797,68937.31
614.0,6.1007195,5.5,116263.0,34756.156,982070.56,65052.355,213454.73,52471.227,38097.668
614.0,6.1007195,6.5,121980.0,47179.87,993740.3,106239.984,107490.01,25789.207,43744.61
614.0,6.1007195,7.5,119935.0,35264.703,846351.2,175759.72,123154.15,111458.5,33185.24
614.0,6.1007195,8.5,125979.0,158194.94,695463.56,259121.6,87767.805,32099.432,45826.508
614.0,6.1007195,9.5,115818.0,100273.984,688438.56,209151.03,171661.11,51036.777,36553.51
614.0,6.1007195,10.5,112847.0,99727.84,434888.78,237578.69,134978.56,90789.5,70500.25
614.0,6.1007195,11.5,110149.0,30728.158,448599.66,371353.84,137535.66,139601.98,135701.64
614.0,6.1007195,12.5,99131.0,41226.59,430536.56,487085.28,152169.34,102343.734,138421.1
614.0,6.1007195,13.5,86532.0,18444.371,683187.9,277995.03,314038.12,157376.1,90033.44
614.0,6.1007195,14.5,76501.0,75674.52,686735.7,233814.27,140596.36,123363.14,72979.46
614.0,6.1007195,15.5,64404.0,34471.54,628112.06,140613.86,166028.75,174620.31,113295.234
614.0,6.1007195,16.5,52043.0,27284.453,641735.94,66452.016,177971.33,110590.17,80759.07
614.0,6.1007195,17.5,39910.0,31629.107,593335.75,61355.87,140928.75,69161.49,12543.605
614.0,6.1007195,18.5,28720.0,106763.336,460065.3,168424.97,128870.26,57822.3,62116.273
614.0,6.1007195,19.5,18676.0,133558.5,363680.34,224735.72,189848.94,85056.38,39466.9
614.0,6.1007195,20.5,13357.0,127611.25,254290.17,202634.53,131900.94,71249.664,10940.34
614.0,6.1007195,21.5,7703.0,81848.02,125302.86,57309.918,43080.355,43609.89,43217.9
616.0,6.067346,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616.0,6.067346,1.5,70853.0,115617.89,801429.0,224519.52,211094.83,84985.8,47100.574
616.0,6.067346,2.5,72314.0,61760.25,313405.47,70883.9,56464.14,48902.625,59153.91
616.0,6.067346,3.5,75102.0,35034.285,330604.38,73472.12,48037.047,18574.357,40349.098
