snapshot_t,lookbacktime,Rcenters,nparticles,amp1,amp2,phase1,phase2
732.5076610162666,732.5076610162666,732.5076610162666,732.5076610162666,732.5076610162666,732.5076610162666,732.5076610162666,732.5076610162666
753.3094396171061,753.3094396171061,753.3094396171061,753.3094396171061,753.3094396171061,753.3094396171061,753.3094396171061,753.3094396171061
753.0080462150452,753.0080462150452,753.0080462150452,753.0080462150452,753.0080462150452,753.0080462150452,753.0080462150452,753.0080462150452
752.2036376958373,752.2036376958373,752.2036376958373,752.2036376958373,752.2036376958373,752.2036376958373,752.2036376958373,752.2036376958373
785.0370319729469,785.0370319729469,785.0370319729469,785.0370319729469,785.0370319729469,785.0370319729469,785.0370319729469,785.0370319729469
809.8844076649362,809.8844076649362,809.8844076649362,809.8844076649362,809.8844076649362,809.8844076649362,809.8844076649362,809.8844076649362
809.9409633204665,809.9409633204665,809.9409633204665,809.9409633204665,809.9409633204665,809.9409633204665,809.9409633204665,809.9409633204665
797.643783121893,797.643783121893,797.643783121893,797.643783121893,797.643783121893,797.643783121893,797.643783121893,797.643783121893
815.4425254414149,815.4425254414149,815.4425254414149,815.4425254414149,815.4425254414149,815.4425254414149,815.4425254414149,815.4425254414149
841.6730327803105,841.6730327803105,841.6730327803105,841.6730327803105,841.6730327803105,841.6730327803105,841.6730327803105,841.6730327803105
861.200735652424,861.200735652424,861.200735652424,861.200735652424,861.200735652424,861.200735652424,861.200735652424,861.200735652424
843.9355297173073,843.9355297173073,843.9355297173073,843.9355297173073,843.9355297173073,843.9355297173073,843.9355297173073,843.9355297173073
851.0955952035515,851.0955952035515,851.0955952035515,851.0955952035515,851.0955952035515,851.0955952035515,851.0955952035515,851.0955952035515
870.1395432386612,870.1395432386612,870.1395432386612,870.1395432386612,870.1395432386612,870.1395432386612,870.1395432386612,870.1395432386612
890.3190130896793,890.3190130896793,890.3190130896793,890.3190130896793,890.3190130896793,890.3190130896793,890.3190130896793,890.3190130896793
881.6745276846908,881.6745276846908,881.6745276846908,881.6745276846908,881.6745276846908,881.6745276846908,881.6745276846908,881.6745276846908
906.1823471516017,906.1823471516017,906.1823471516017,906.1823471516017,906.1823471516017,906.1823471516017,906.1823471516017,906.1823471516017
916.2862514059914,916.2862514059914,916.2862514059914,916.2862514059914,916.2862514059914,916.2862514059914,916.2862514059914,916.2862514059914
942.763754330871,942.763754330871,942.763754330871,942.763754330871,942.763754330871,942.763754330871,942.763754330871,942.763754330871
937.7158429979523,937.7158429979523,937.7158429979523,937.7158429979523,937.7158429979523,937.7158429979523,937.7158429979523,937.7158429979523
912.7342179663126,912.7342179663126,912.7342179663126,912.7342179663126,912.7342179663126,912.7342179663126,912.7342179663126,912.7342179663126
536.1952848616321,536.1952848616321,536.1952848616321,536.1952848616321,536.1952848616321,536.1952848616321,536.1952848616321,536.1952848616321
542.0267148413778,542.0267148413778,542.0267148413778,542.0267148413778,542.0267148413778,542.0267148413778,542.0267148413778,542.0267148413778
562.8332215536134,562.8332215536134,562.8332215536134,562.8332215536134,562.8332215536134,562.8332215536134,562.8332215536134,562.8332215536134
573.4314110770762,573.4314110770762,573.4314110770762,573.4314110770762,573.4314110770762,573.4314110770762,573.4314110770762,573.4314110770762
573.8700927204942,573.8700927204942,573.8700927204942,573.8700927204942,573.8700927204942,573.8700927204942,573.8700927204942,573.8700927204942
592.5401735425892,592.5401735425892,592.5401735425892,592.5401735425892,592.5401735425892,592.5401735425892,592.5401735425892,592.5401735425892
610.5373707281763,610.5373707281763,610.5373707281763,610.5373707281763,610.5373707281763,610.5373707281763,610.5373707281763,610.5373707281763
611.1243913905403,611.1243913905403,611.1243913905403,611.1243913905403,611.1243913905403,611.1243913905403,611.1243913905403,611.1243913905403
628.0235076769229,628.0235076769229,628.0235076769229,628.0235076769229,628.0235076769229,628.0235076769229,628.0235076769229,628.0235076769229
636.7563116458684,636.7563116458684,636.7563116458684,636.7563116458684,636.7563116458684,636.7563116458684,636.7563116458684,636.7563116458684
640.6547922062371,640.6547922062371,640.6547922062371,640.6547922062371,640.6547922062371,640.6547922062371,640.6547922062371,640.6547922062371
654.1429235395661,654.1429235395661,654.1429235395661,654.1429235395661,654.1429235395661,654.1429235395661,654.1429235395661,654.1429235395661
664.3601926292783,664.3601926292783,664.3601926292783,664.3601926292783,664.3601926292783,664.3601926292783,664.3601926292783,664.3601926292783
672.4184414218289,672.4184414218289,672.4184414218289,672.4184414218289,672.4184414218289,672.4184414218289,672.4184414218289,672.4184414218289
703.6199228806124,703.6199228806124,703.6199228806124,703.6199228806124,703.6199228806124,703.6199228806124,703.6199228806124,703.6199228806124
678.2090744326462,678.2090744326462,678.2090744326462,678.2090744326462,678.2090744326462,678.2090744326462,678.2090744326462,678.2090744326462
722.6890834500781,722.6890834500781,722.6890834500781,722.6890834500781,722.6890834500781,722.6890834500781,722.6890834500781,722.6890834500781
712.3823729151366,712.3823729151366,712.3823729151366,712.3823729151366,712.3823729151366,712.3823729151366,712.3823729151366,712.3823729151366
731.6450253663954,731.6450253663954,731.6450253663954,731.6450253663954,731.6450253663954,731.6450253663954,731.6450253663954,731.6450253663954
735.4629987950597,735.4629987950597,735.4629987950597,735.4629987950597,735.4629987950597,735.4629987950597,735.4629987950597,735.4629987950597
756.2647773958992,756.2647773958992,756.2647773958992,756.2647773958992,756.2647773958992,756.2647773958992,756.2647773958992,756.2647773958992
755.9633839938382,755.9633839938382,755.9633839938382,755.9633839938382,755.9633839938382,755.9633839938382,755.9633839938382,755.9633839938382
755.1589754746303,755.1589754746303,755.1589754746303,755.1589754746303,755.1589754746303,755.1589754746303,755.1589754746303,755.1589754746303
787.99236975174,787.99236975174,787.99236975174,787.99236975174,787.99236975174,787.99236975174,787.99236975174,787.99236975174
812.8397454437293,812.8397454437293,812.8397454437293,812.8397454437293,812.8397454437293,812.8397454437293,812.8397454437293,812.8397454437293
812.8963010992595,812.8963010992595,812.8963010992595,812.8963010992595,812.8963010992595,812.8963010992595,812.8963010992595,812.8963010992595
800.599120900686,800.599120900686,800.599120900686,800.599120900686,800.599120900686,800.599120900686,800.599120900686,800.599120900686
818.3978632202079,818.3978632202079,818.3978632202079,818.3978632202079,818.3978632202079,818.3978632202079,818.3978632202079,818.3978632202079
844.6283705591035,844.6283705591035,844.6283705591035,844.6283705591035,844.6283705591035,844.6283705591035,844.6283705591035,844.6283705591035
864.156073431217,864.156073431217,864.156073431217,864.156073431217,864.156073431217,864.156073431217,864.156073431217,864.156073431217
846.8908674961003,846.8908674961003,846.8908674961003,846.8908674961003,846.8908674961003,846.8908674961003,846.8908674961003,846.8908674961003
854.0509329823445,854.0509329823445,854.0509329823445,854.0509329823445,854.0509329823445,854.0509329823445,854.0509329823445,854.0509329823445
873.0948810174542,873.0948810174542,873.0948810174542,873.0948810174542,873.0948810174542,873.0948810174542,873.0948810174542,873.0948810174542
893.2743508684723,893.2743508684723,893.2743508684723,893.2743508684723,893.2743508684723,893.2743508684723,893.2743508684723,893.2743508684723
884.6298654634838,884.6298654634838,884.6298654634838,884.6298654634838,884.6298654634838,884.6298654634838,884.6298654634838,884.6298654634838
909.1376849303947,909.1376849303947,909.1376849303947,909.1376849303947,909.1376849303947,909.1376849303947,909.1376849303947,909.1376849303947
